5
44
4 495 314 64 154
3 494 380 65 155
3 651 378 67 143
2 494 445 65 157
2 653 445 67 141
1 495 512 69 155
1 652 514 66 142
1 795 515 65 141
1 937 514 66 135
1 1073 514 66 141
2 1073 445 65 139
2 933 446 63 137
3 1072 375 67 138
2 931 375 64 136
4 1071 308 62 135
4 794 444 67 136
1 794 308 67 135
1 1215 514 66 128
1 371 512 67 123
4 226 445 66 142
4 1344 442 70 158
2 368 377 65 124
2 1213 373 65 129
2 649 245 65 145
2 929 240 66 142
1 368 311 62 125
1 1207 307 64 134
3 215 248 61 150
3 1341 244 60 141
3 214 577 67 154
3 1343 578 76 163
2 1505 511 67 174
4 363 179 67 134
1 497 179 67 151
1 1070 177 62 135
4 1205 175 64 135
3 792 178 66 136
2 1483 303 68 165
2 1484 371 71 165
4 1652 303 136 55
4 970 152 84 56
1 1483 178 64 148
3 1633 157 142 74
3 1509 579 74 179
37
4 867 421 68 143
3 867 350 67 143
3 1012 419 70 133
3 737 420 68 127
3 867 489 72 143
2 737 346 68 126
2 1013 348 64 132
2 738 491 71 124
2 1011 489 70 133
2 867 278 67 141
2 866 563 72 145
2 606 419 70 128
2 1147 422 65 138
4 1146 489 67 139
4 607 493 68 127
1 608 348 63 125
1 1149 348 65 140
4 607 564 68 131
4 741 565 67 122
4 1013 561 72 132
4 1146 559 71 140
1 1009 277 70 136
1 1146 277 68 142
1 736 277 68 127
1 609 277 69 125
4 1290 344 71 132
1 1289 418 72 134
3 736 212 61 128
3 1009 210 62 134
3 864 150 63 145
1 867 635 65 146
4 479 347 67 126
1 481 418 71 120
2 223 376 76 252
2 1425 372 78 273
2 284 150 223 60
2 1502 150 220 68
50
1 913 335 56 92
1 912 391 57 92
2 1006 334 57 83
2 1007 392 56 81
2 831 390 55 79
2 831 334 51 79
3 830 278 53 82
3 831 445 65 79
3 1005 277 53 83
3 1008 449 58 80
4 1088 278 54 80
4 1091 333 57 76
4 1091 391 59 79
4 1089 451 56 82
4 755 277 55 72
4 756 334 52 72
4 757 389 56 72
4 758 447 62 71
1 1090 507 57 79
4 1169 279 56 79
4 683 276 56 70
2 1248 223 54 90
3 1338 150 72 112
2 578 213 60 102
3 457 151 59 120
1 758 509 60 73
1 673 510 59 84
1 1170 508 57 93
1 673 569 60 86
1 1169 565 59 94
2 576 570 57 95
2 576 627 58 95
2 1263 563 63 91
2 1263 627 53 92
3 1355 626 55 95
3 1355 682 58 96
3 488 684 54 86
3 488 624 54 84
4 1453 652 64 118
4 371 652 59 112
3 1452 150 75 257
3 211 152 58 245
4 211 653 59 160
4 1572 652 64 137
1 298 297 260 55
1 353 390 77 99
1 457 300 263 65
1 1416 315 236 70
1 1566 310 238 70
1 1488 391 68 76
56
4 865 253 67 65
4 931 319 67 58
4 991 385 66 61
4 936 449 70 51
4 797 321 65 69
4 739 386 68 58
4 799 452 66 70
4 871 517 67 65
3 930 251 67 59
3 990 318 67 63
3 1053 385 66 59
3 990 453 67 63
3 938 521 63 52
3 871 584 66 66
3 800 518 67 69
3 739 454 63 58
3 677 385 69 60
3 738 320 64 55
3 794 253 63 68
3 865 184 66 65
2 990 249 68 62
2 1054 317 66 58
2 1113 385 66 63
2 870 651 56 67
2 939 585 66 52
2 992 521 63 60
2 1054 451 67 58
2 800 585 63 70
2 738 518 64 59
2 677 455 63 59
2 613 386 68 63
2 673 319 60 62
2 740 251 68 49
1 1112 317 66 66
1 1178 382 70 72
1 1114 451 69 63
1 1054 519 67 60
1 992 586 67 60
1 939 652 57 52
1 870 708 57 68
1 797 648 60 71
1 738 582 66 58
1 676 519 62 61
1 612 455 63 63
1 542 386 68 69
1 612 318 61 59
1 672 251 66 66
1 1053 251 65 57
1 1249 314 65 74
1 1251 450 76 75
4 1323 378 72 140
1 456 318 65 84
1 455 452 60 85
4 327 383 70 127
3 1278 620 81 361
3 297 624 79 343
44
4 765 372 67 114
4 881 373 66 107
3 664 311 61 100
3 988 308 61 106
3 990 436 64 105
3 668 439 62 96
2 1095 500 68 93
2 1095 370 69 91
2 1094 241 67 89
2 581 372 67 83
2 582 500 66 84
2 577 246 62 86
1 1183 306 64 104
1 1188 436 67 101
1 1189 567 69 104
1 1181 178 61 106
1 479 306 67 97
1 473 186 57 101
1 480 437 61 98
1 482 566 63 98
2 379 241 67 93
2 379 372 64 99
2 377 498 67 102
2 1289 238 69 99
2 1288 368 68 102
2 1290 501 65 100
3 1386 174 61 118
3 1390 308 60 113
3 1390 436 65 113
3 1390 566 71 112
4 1504 235 73 100
4 1504 367 68 99
4 1504 501 67 98
3 279 176 63 99
3 283 306 68 95
3 286 434 64 90
3 286 564 66 90
4 212 240 68 66
4 211 371 64 70
4 213 497 66 69
1 1605 269 136 103
1 1608 406 140 99
3 771 204 72 214
2 790 558 87 184
